,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
0,TU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01347222222222222,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1111111111111111
1,TU,0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.024249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5777777777777777
2,TU,0,11.480362537764348,47.94444444444444,0.30716666666666664,0.21825,0.39338888888888884,0.3906944444444444,0.39338888888888884,0.3906944444444444,0.39338888888888884,0.01347222222222222,0.0,0.0,0.0,0.0,0,0,0,0,0,0,39.8
3,TU,0,75.93152064451158,90.94444444444446,2.031611111111111,0.10238888888888888,0.08891666666666667,0.0,0.2856111111111111,0.2802222222222222,0.37722222222222224,2.233694444444444,0.0,0.0,0.0,0.0,0,0,0,0,0,0,80.9111111111111
4,TU,0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1111111111111111
5,TU,10,3.222557905337361,92.94444444444444,0.08622222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,43.4
6,TU,10,0.0,80.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021555555555555553,0.6682222222222223,0,0,0,0,0,0,38.044444444444444
7,TU,10,0.10070493454179254,43.94444444444445,0.002694444444444444,0.0,0.0,0.0,0.0,0.0,0.12125,0.12394444444444444,0.19669444444444442,0.05119444444444444,0.20747222222222222,0.0,0,0,0,0,0,0,23.377777777777776
8,TU,10,71.09768378650554,95.44444444444444,1.9022777777777777,0.010777777777777777,0.0,0.0,0.01886111111111111,0.09969444444444445,0.0,0.0,0.02694444444444444,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,60.666666666666664
9,TU,10,0.0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.24444444444444444
10,StAR:bPAC+,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
11,StAR:bPAC+,0,0.10070493454179254,0.0,0.002694444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.02222222222222222
12,StAR:bPAC+,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
13,StAR:bPAC+,0,1.7119838872104731,0.3888888888888889,0.04580555555555555,0.0,0.12394444444444444,0.3906944444444444,0.39338888888888884,0.3906944444444444,0.04041666666666666,0.024249999999999997,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11.777777777777777
14,StAR:bPAC+,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
15,StAR:bPAC+,10,0.0,61.611111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04041666666666666,0.0,0.0,0.0,0,0,0,0,0,0,24.977777777777774
16,StAR:bPAC+,10,29.00302114803625,97.5,0.7759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,50.91111111111111
17,StAR:bPAC+,10,0.0,3.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002694444444444444,0,0,0,0,0,0,1.4888888888888887
18,StAR:bPAC+,10,0.6042296072507553,79.0,0.016166666666666666,0.0,0.0,0.0,0.0916111111111111,0.11316666666666665,0.01886111111111111,0.0,0.0,0.0,0.016166666666666666,0.6655277777777776,0,0,0,0,0,0,39.2
19,StAR:bPAC+,10,0.0,97.16666666666667,0.0,0.0,0.0,0.0,0.0,0.024249999999999997,0.17244444444444443,0.10777777777777776,0.0,0.0,0.13741666666666666,0.6682222222222223,0,0,0,0,0,0,48.02222222222222
20,StAR:bPAC-,0,33.23262839879154,99.88888888888889,0.8891666666666665,0.3906944444444444,0.39338888888888884,0.3906944444444444,0.3368055555555555,0.3044722222222222,0.39338888888888884,2.236388888888889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83.95555555555555
21,StAR:bPAC-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
22,StAR:bPAC-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
23,StAR:bPAC-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
24,StAR:bPAC-,0,0.5035246727089626,5.833333333333334,0.01347222222222222,0.002694444444444444,0.0,0.0,0.0,0.0,0.0,2.088194444444444,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19.688888888888886
25,StAR:bPAC-,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
26,StAR:bPAC-,10,7.653575025176233,95.61111111111111,0.20477777777777775,0.0,0.01347222222222222,0.0,0.0,0.0,0.029638888888888885,0.0,0.0,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,45.8
27,StAR:bPAC-,10,19.637462235649544,94.16666666666667,0.5254166666666666,0.005388888888888888,0.0,0.0,0.0,0.03772222222222222,0.01347222222222222,0.18052777777777776,0.0,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,49.46666666666667
28,StAR:bPAC-,10,3.927492447129909,76.66666666666667,0.10508333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682222222222223,0,0,0,0,0,0,37.044444444444444
