,Strain,Treatment,bin0,bin1,bin2,bin3,bin4,bin5
0,TU,0,5.872053142818981,5.872053142818981,5.339402888697306,4.63864084319667,4.976055936645744,5.050096555484897
1,TU,0,6.108691009761125,6.108691009761125,8.66775148408372,10.255532124481448,6.762780613494914,3.1752486131425064
2,TU,0,4.279344338967971,4.279344338967971,7.942082568697042,3.0890534314559974,1.3940313149705499,0.15469512427956167
3,TU,0,0.7848084697824518,0.7848084697824518,0.1782317932352389,0.15370424835802937,0.14304710864376963,0.10465340529266386
4,TU,0,0.1765290886459137,0.1765290886459137,5.119098977241066,6.036956922381849,5.640362133494011,5.17909142579046
5,TU,10,0.6198827919037264,0.6198827919037264,0.10587799299027484,0.06546874008470298,0.04758562580861273,0.043623187343997956
6,TU,10,0.036558996727456966,0.036558996727456966,0.0274004088141289,0.02575929864057887,0.025076286296622934,0.019277167232306193
7,TU,10,0.05910478771536108,0.05910478771536108,0.02600791743396571,0.02828695633418994,0.02519578173656458,0.02577514517864644
8,TU,10,4.048046255031412,4.048046255031412,3.5980460384348554,3.3043622806752704,2.5020224898140095,7.586487156497366
9,TU,10,6.599710084873731,6.599710084873731,0.17980353138458743,0.032786392612731224,0.032091940729283966,2.0722209025535605
10,StAR:bPAC+,0,2.298268726556971,2.298268726556971,2.7149363301543294,3.1670833721709255,2.868145532609709,2.8639965927485913
11,StAR:bPAC+,0,2.0194667367856853,2.0194667367856853,2.9143554546229913,2.789363203753464,2.820584766414522,3.124603950123161
12,StAR:bPAC+,0,3.1976478596510955,3.1976478596510955,4.758602329813101,4.76386914120017,5.494981789001095,5.214042220100302
13,StAR:bPAC+,0,3.9992176780208326,3.9992176780208326,5.068134701917111,4.007517395934668,5.756537664597364,6.20964290046087
14,StAR:bPAC+,0,2.551171288916707,2.551171288916707,2.944944674881827,2.936956761474988,3.393473671648543,3.1467116738676797
15,StAR:bPAC+,10,9.519649140711879,9.519649140711879,0.5575948258977871,0.05277727054569433,0.07140720951166094,0.18566299217983542
16,StAR:bPAC+,10,4.172661644061377,4.172661644061377,5.132052075228786,4.046346269563145,2.394914437859931,2.155128083747628
17,StAR:bPAC+,10,5.592796459641044,5.592796459641044,6.822260511803224,6.284031372334571,6.50925534554798,5.1348238884355695
18,StAR:bPAC+,10,6.996957637534941,6.996957637534941,3.5488380428910697,8.595137745569993,9.908409110637397,12.523275009343187
19,StAR:bPAC+,10,3.7553987659475903,3.7553987659475903,4.121146877989261,4.212194385873574,3.7368372889402304,4.003265646204028
20,StAR:bPAC-,0,1.4045854545003733,1.4045854545003733,6.173867856615316,3.1536447549138997,1.8479348242968376,3.229213584235211
21,StAR:bPAC-,0,8.883108634036528,8.883108634036528,5.314233197821644,0.7808043534779234,6.915025849433117,4.515149201491518
22,StAR:bPAC-,0,4.8703064411992205,4.8703064411992205,4.699765545349022,5.603487390391652,5.055936836725559,4.564010938594977
23,StAR:bPAC-,0,0.03772699423147942,0.03772699423147942,0.033114477195706586,0.03172829849612907,0.02896349909627832,0.024208631025583398
24,StAR:bPAC-,0,0.02732391321136377,0.02732391321136377,0.021472725609968636,0.01946995317710653,0.018413231565333824,0.02097637792601035
25,StAR:bPAC-,10,2.1017340371388005,2.1017340371388005,4.489808101561186,4.925315858345612,3.7160209973338567,2.3398537406909896
26,StAR:bPAC-,10,2.725746253456942,2.725746253456942,2.635087923453636,2.274146138166772,3.051565842461372,3.3999594123180663
27,StAR:bPAC-,10,5.433059401885882,5.433059401885882,4.0403975248030415,4.007037102730348,4.130381515388628,4.039675896685719
28,StAR:bPAC-,10,4.256558789749188,4.256558789749188,4.5922578291592036,6.047428836585924,4.765269629967137,4.021636186711735
29,StAR:bPAC-,10,7.753508044087342,7.753508044087342,5.224116310213093,6.169383983656941,4.288314633978098,3.7978692301795274
30,TU,0,3.8617416185546634,3.8617416185546634,4.614286056224419,4.1939450973435495,3.9677508069628207,4.258482917826954
31,TU,0,3.3556112531346973,3.3556112531346973,5.308877859559156,5.51112016452267,5.209508945173941,3.7211786619475067
32,TU,0,1.360866639963421,1.360866639963421,4.852024486264651,4.891117699896718,5.082643795573645,6.670104161716485
33,TU,0,3.2756825083210686,3.2756825083210686,0.135319852403776,0.16483512979894283,0.10097524315907243,0.15443046854415207
34,TU,0,3.409389647555611,3.409389647555611,3.7799804103965564,3.7159231305826372,2.980643836243343,3.067011180618479
35,TU,10,5.69559111514551,5.69559111514551,4.969213718261931,1.7375525085238734,3.479985590241928,3.5416665872696225
36,TU,10,3.0457892640082145,3.0457892640082145,2.9905770656997306,3.5085159863407864,4.049416117714301,2.765720871048847
37,TU,10,2.82073861028026,2.82073861028026,4.3274903899224295,3.4880867543301015,2.487123606968097,3.2246584038076627
38,TU,10,6.718948798359245,6.718948798359245,3.8484642513972327,0.0793351333354907,0.031097470808027536,0.025156807590928552
39,TU,10,8.82876322145401,8.82876322145401,6.104239909855369,6.093533811210452,5.866917160341136,4.98958688757791
40,StAR:bPAC+,0,3.444569533130358,3.444569533130358,3.1318039935748345,2.6537673937667723,3.370734433577828,3.2767853720276285
41,StAR:bPAC+,0,6.316756920235565,6.316756920235565,4.917324765305345,6.106057772365045,3.7523870743507373,3.767796302509879
42,StAR:bPAC+,0,4.358707395928788,4.358707395928788,3.1946048610595428,3.603297310001861,3.1175246880157688,3.7834337231888253
43,StAR:bPAC+,0,0.8368935913358283,0.8368935913358283,4.248019733858477,4.41702534737492,5.818051848668469,5.246397014088889
44,StAR:bPAC+,0,3.8479653621545373,3.8479653621545373,2.90812082097121,4.20840569682721,3.3606099949999875,3.1711925409838395
45,StAR:bPAC+,10,4.534323166026417,4.534323166026417,3.9032266380770286,4.388538421372721,3.169310114950307,3.916379009527385
46,StAR:bPAC+,10,4.110881206273609,4.110881206273609,8.627074848553582,3.3380948090561566,0.23184177999130048,0.15056362839771054
47,StAR:bPAC+,10,3.289379797675879,3.289379797675879,2.4166863702984913,3.6881544117896317,3.112042976420086,3.477612044461262
48,StAR:bPAC+,10,4.01617816964484,4.01617816964484,5.9030955948119805,6.337232434638397,2.133215294430321,3.7918552824274334
49,StAR:bPAC+,10,3.0369477365604345,3.0369477365604345,2.711975825976802,2.4539548955792743,2.2713762256151115,2.036002613375198
50,StAR:bPAC-,0,9.544647782837158,9.544647782837158,8.4493831815224,6.967483010013183,7.676647565750901,0.4940100298118453
51,StAR:bPAC-,0,4.009043725957906,4.009043725957906,4.375493478564604,4.080145704064186,4.486954538348684,4.34533880770653
52,StAR:bPAC-,0,5.78197407428844,5.78197407428844,4.860145809380609,4.695367323212307,4.926478149446906,3.7840367659823846
53,StAR:bPAC-,0,3.563527468543232,3.563527468543232,4.44535513903949,3.7345703411415037,3.5519525345925786,4.776116934720721
54,StAR:bPAC-,0,3.8627824516662077,3.8627824516662077,3.1131994579862807,3.145190582362254,3.824268657709863,3.0920086751445464
55,StAR:bPAC-,10,4.5113677613541885,4.5113677613541885,5.181088819099712,3.2633314553801585,4.553087644065929,3.7285905874749137
56,StAR:bPAC-,10,4.688108714623362,4.688108714623362,1.159533439240341,5.70974419718348,3.2580406506452997,5.711805812281653
57,StAR:bPAC-,10,8.992023616133778,8.992023616133778,6.970030548070896,5.394570031355388,2.662176720119554,0.23585817679405688
58,StAR:bPAC-,10,5.842871583814345,5.842871583814345,4.529626841070719,2.501158270374857,2.1264903999869347,3.515531774889514
